iter	Logloss
0	0.6791331516
1	0.6631646923
2	0.6452026783
3	0.6312792127
4	0.6195188261
5	0.6030584381
6	0.5893407143
7	0.5752959598
8	0.5619699456
9	0.5525687206
10	0.5390086236
11	0.5285157477
12	0.520580972
13	0.512047375
14	0.5031669022
15	0.4943571486
16	0.481302621
17	0.4716841233
18	0.4642254841
19	0.4573167015
20	0.4503943577
21	0.4419190525
22	0.43632966
23	0.4302520382
24	0.4254698684
25	0.4190580651
26	0.4119699708
27	0.4032827685
28	0.3989122367
29	0.394562031
30	0.3888544914
31	0.3829407523
32	0.3741895032
33	0.367656379
34	0.362638258
35	0.3570849077
36	0.3497040494
37	0.3447070628
38	0.3392416327
39	0.3348855283
40	0.3319230404
41	0.3262902828
42	0.321771703
43	0.3194606786
44	0.3165812819
45	0.3110680877
46	0.3088073574
47	0.3049369248
48	0.3003448593
49	0.2954377963
50	0.2927106227
51	0.2897698746
52	0.2870773418
53	0.2836773822
54	0.2800653028
55	0.2763032186
56	0.2728416895
57	0.2708186299
58	0.2689652593
59	0.2652136777
60	0.2635504623
61	0.2598480002
62	0.2566434661
63	0.2531372848
64	0.2490719134
65	0.2469948897
66	0.2447516568
67	0.2421006884
68	0.2390518869
69	0.237442803
70	0.234932433
71	0.233163151
72	0.2306196999
73	0.2297090299
74	0.2278842172
75	0.2252564372
76	0.2233212055
77	0.2213214677
78	0.2196454391
79	0.2176121941
80	0.2158900198
81	0.2143454227
82	0.2126876841
83	0.2105523157
84	0.2082873703
85	0.2062150865
86	0.2041797201
87	0.2023789004
88	0.200247981
89	0.1981798345
90	0.1967504469
91	0.1949428178
92	0.1926076789
93	0.1911271991
94	0.1900286425
95	0.1884597372
96	0.18685975
97	0.1851262992
98	0.1834741131
99	0.1822313585
100	0.1813217368
101	0.1801673675
102	0.1783476866
103	0.1775059252
104	0.1759242968
105	0.1742674013
106	0.1731031895
107	0.1712146796
108	0.1702199568
109	0.1690585435
110	0.1674070927
111	0.1660687061
112	0.1643539877
113	0.1632976239
114	0.1618124892
115	0.1612827041
116	0.1601476126
117	0.1587977469
118	0.157469478
119	0.15629981
120	0.1547246618
121	0.153451959
122	0.1525606892
123	0.1517106821
124	0.1505021142
125	0.1489431944
126	0.1477572749
127	0.1469826548
128	0.1462604005
129	0.144824971
130	0.1442972159
131	0.1432693329
132	0.1420180306
133	0.1416032296
134	0.140846362
135	0.1397794818
136	0.1390832462
137	0.1388003025
138	0.1376433141
139	0.1368887996
140	0.1362398735
141	0.135710096
142	0.1348740314
143	0.1341713974
144	0.1333631324
145	0.1330075821
146	0.1322168385
147	0.131663354
148	0.1311515829
149	0.130399376
150	0.1298264331
151	0.1295782091
152	0.1287835793
153	0.1279349074
154	0.1270621708
155	0.1262722459
156	0.12557057
157	0.1252627528
158	0.1248414307
159	0.1241246919
160	0.1233945159
161	0.1226864769
162	0.1220791503
163	0.1208072648
164	0.1197523342
165	0.1187748479
166	0.1179166853
167	0.1172621435
168	0.1165363624
169	0.116232499
170	0.1155195371
171	0.114881926
172	0.1144046987
173	0.1138145528
174	0.113256406
175	0.1128460984
176	0.1124639865
177	0.111916258
178	0.1117311005
179	0.1109754554
180	0.1104549777
181	0.1098249439
182	0.1093509766
183	0.1087361222
184	0.1081691903
185	0.1080601875
186	0.1074453786
187	0.1067909323
188	0.1064042801
189	0.1057642995
190	0.1052898468
191	0.1045655251
192	0.1040701663
193	0.1034300325
194	0.1030115391
195	0.1027604936
196	0.1022885785
197	0.1019013718
198	0.1010301664
199	0.1002353151
200	0.0996947051
201	0.09941078073
202	0.09912007772
203	0.09861280385
204	0.09849092892
205	0.09791912201
206	0.0973414133
207	0.0969863512
208	0.09627131267
209	0.09563450581
210	0.09509183902
211	0.09452235642
212	0.09426039081
213	0.09356432429
214	0.09332800791
215	0.09285872171
216	0.0924025379
217	0.09176064093
218	0.09129801647
219	0.09074417991
220	0.09035099087
221	0.09002886905
222	0.08925740565
223	0.08880342763
224	0.08822852452
225	0.08802018253
226	0.087735101
227	0.08723143886
228	0.08674656538
229	0.08648685128
230	0.0861876636
231	0.08581448671
232	0.08522982783
233	0.08470582673
234	0.08414764679
235	0.08360567487
236	0.08315779793
237	0.08259804734
238	0.08226437034
239	0.08175686609
240	0.08146850065
241	0.08115946897
242	0.08080030707
243	0.08040329697
244	0.08019040591
245	0.07961384106
246	0.0792127386
247	0.0787359974
248	0.07838551322
249	0.07772169765
250	0.07738496928
251	0.077131981
252	0.07695941367
253	0.07684796241
254	0.07634655927
255	0.07592171786
256	0.07575414081
257	0.07545685417
258	0.07520578353
259	0.07490252859
260	0.07445771354
261	0.07405295589
262	0.07348944331
263	0.07300023974
264	0.07286074386
265	0.07233185893
266	0.07229621113
267	0.07189271652
