iter	Logloss
0	0.6781761735
1	0.6658583041
2	0.6565639355
3	0.6438286393
4	0.6356157373
5	0.6271562223
6	0.6153571517
7	0.6082974893
8	0.6022954164
9	0.5955448151
10	0.5896917272
11	0.5855792363
12	0.5815116035
13	0.5766003927
14	0.5708354667
15	0.5661026284
16	0.5609371044
17	0.5570404618
18	0.5538557547
19	0.5511858198
20	0.5486433948
21	0.5460463277
22	0.5437585336
23	0.542253353
24	0.5401537507
25	0.5371965126
26	0.5349925712
27	0.5326606962
28	0.5308043162
29	0.5286543458
30	0.5267546265
31	0.5245847349
32	0.5222908303
33	0.5202181781
34	0.5187086176
35	0.5172401004
36	0.5156042311
37	0.5142923638
38	0.5130789368
39	0.5121534136
40	0.5109552101
41	0.5093489046
42	0.508140458
43	0.5075321904
44	0.506587629
45	0.5045362049
46	0.5027888969
47	0.5018869683
48	0.5004134002
49	0.4984529637
50	0.4968857589
51	0.4956463001
52	0.493521655
53	0.4923496246
54	0.4916668645
55	0.4901028033
56	0.4890461321
57	0.4879664668
58	0.4867775175
59	0.4861435007
60	0.4847387384
61	0.4843142474
62	0.4836698108
63	0.482749939
64	0.480971513
65	0.4794868893
66	0.4778359025
67	0.477350235
68	0.4766339549
69	0.4761383975
70	0.4751699942
71	0.4738122799
72	0.4729784506
73	0.4718187827
74	0.4708278797
75	0.469800384
76	0.4688585069
77	0.4680794963
78	0.4676625287
79	0.4666661863
80	0.4655038692
81	0.4646032121
82	0.4635965559
83	0.4625088374
84	0.4613144133
85	0.4606381875
86	0.4596359112
87	0.4592197913
88	0.4585766262
89	0.4579012129
90	0.4572663837
91	0.455808357
92	0.4550180435
93	0.4546414128
94	0.4535854834
95	0.4527046062
96	0.4513058839
97	0.4506455881
98	0.4497547503
99	0.4486905204
100	0.4477016308
101	0.4468680488
102	0.44610903
103	0.4453035284
104	0.4441106938
105	0.443227662
106	0.4423469614
107	0.4417437094
108	0.4413396341
109	0.4401721954
110	0.4394505819
111	0.4369107352
112	0.4352153142
113	0.433986028
114	0.4325787933
115	0.4317875615
116	0.4309493877
117	0.4300547706
118	0.4295226203
119	0.4286805965
120	0.428401064
121	0.4276806867
122	0.4269097999
123	0.4262803042
124	0.4257345553
125	0.4244264673
126	0.4237073616
127	0.4220270934
128	0.4206545794
129	0.4199207447
130	0.4181447206
131	0.4168758039
132	0.4166499244
133	0.4150125009
134	0.4145645919
135	0.4139542756
136	0.4135226144
137	0.4128848182
138	0.412005036
139	0.4112901334
140	0.4097761931
141	0.4091601195
142	0.4081037309
143	0.4073436525
144	0.4062525078
145	0.4051291501
146	0.4047147963
147	0.404006075
148	0.4029387368
149	0.4010912931
150	0.3991860284
151	0.398111414
152	0.3974807881
153	0.3959207182
154	0.3956617426
155	0.3944712745
156	0.3931862513
157	0.3924381468
158	0.3913377126
159	0.3907790714
160	0.3898604711
161	0.3885075251
162	0.3878643601
163	0.3858282654
164	0.3849925642
165	0.3846984439
166	0.3835604632
167	0.3819746795
168	0.3811102267
169	0.3799089502
170	0.3778769882
171	0.3757935983
172	0.3745139087
173	0.3736222938
